mkwebapp	none		static-data
mmx-cli	npm	mmx-cli	rolling-download
morphshell	github-clone	termuxvoid/MorphShell	script-clone
mtcr-apply	none		static-data
naabu	go	github.com/projectdiscovery/naabu/v2/cmd/naabu	rolling-download
nethunter-cli	none		rolling-download
ngrok	none		rolling-download
nikto	github-clone	sullo/nikto	script-clone
nuclei	go	github.com/projectdiscovery/nuclei/v3/cmd/nuclei	rolling-download
numinfo	github-clone	Anon4You/NumInfo	script-clone
nvchad	github-clone	NvChad/starter	script-clone
onionsearch	pypi	onionsearch	rolling-download
openbullet	github-clone	esfelurm/OpenBullet	script-clone
openbullet2	github-tag	openbullet/OpenBullet2	rolling-download
openclaude	npm	@gitlawb/openclaude	rolling-download
opencode	github-release	anomalyco/opencode	rolling-download
pairip	none		static-data
pandora	github-clone	MrSanZz/pandora	script-clone
paramspider	github-clone	devanshbatham/paramspider	script-clone
parrot-cli	github-clone	EXALAB/Anlinux-Resources	rolling-download
pdfcracker	none		static-data
phishmailer	github-clone	BiZken/PhishMailer	script-clone
phoneinfo	none		static-data
phoneinfoga	github-release	sundowndev/phoneinfoga	rolling-download
phoneintel	pypi	phoneintel	rolling-download
phonesploit-pro	github-clone	AzeemIdrisi/PhoneSploit-Pro	script-clone
photon	github-clone	s0md3v/photon	script-clone
pip-basic-depends	none		rolling-download
pkiller	github-clone	Anon4You/PKiller	script-clone
playit	github-clone	playit-cloud/playit-agent	script-clone
powerdos	none		static-data
pptool	github-release	Kirlif/PPTool	rolling-download
publiceye	none		static-data
python-pandas	pypi	pandas	rolling-download
pywhat	pypi	pywhat	rolling-download
qdl	github-clone	linux-msm/qdl	script-clone
qsreplace	go	github.com/tomnomnom/qsreplace	rolling-download
random-banner	github-clone	Alienkrishn/random_banners	script-clone
rang3r	github-clone	floriankunushevci/rang3r	script-clone
ransomux	github-clone	Anon4You/RansoMux	script-clone
reaver	github-clone	t6x/reaver-wps-fork-t6x	script-clone
redhawk	github-clone	Tuhinshubhra/RED_HAWK	script-clone
rkpairip	pypi	Pairip	rolling-download
ruby-curb	gem	curb	rolling-download
ruby-ethon	gem	ethon	rolling-download
ruby-nokogiri	gem	nokogiri	rolling-download
scanqli	github-clone	bambish/ScanQLi	script-clone
secretfinder	github-clone	m4ll0k/SecretFinder	rolling-download
setoolkit	none		rolling-download
shark	github-clone	E343IO/shark	script-clone
shellcrypt	none		rolling-download
sherlock	pypi	sherlock-project	rolling-download
shorturl	none		static-data
silverinstaeye	github-clone	silverxpymaster/SilverInstaEye	script-clone
slowhttptest	github-clone	shekyan/slowhttptest	script-clone
sms-stealer	github-clone	Anon4You/sms-stealer	script-clone
snatcher	github-clone	Anon4You/Snatcher	script-clone
snoop	github-clone	snooppr/snoop	script-clone
spider	none		rolling-download
sploitscan	pypi	sploitscan	rolling-download
spurt	github-clone	zer-far/spurt	script-clone
sqlmap	pypi	sqlmap	rolling-download
sqlscan	github-clone	machine1337/sqlscan	script-clone
